MCC,Название,Группа
3514,"Отели, мотели, курорты",Отели и мотели
3526,"Отели, мотели, курорты",Отели и мотели
3539,"Отели, мотели, курорты",Отели и мотели
3546,"Отели, мотели, курорты",Отели и мотели
3547,"Отели, мотели, курорты",Отели и мотели
3551,"Отели, мотели, курорты",Отели и мотели
3554,"Отели, мотели, курорты",Отели и мотели
3555,"Отели, мотели, курорты",Отели и мотели
3556,"Отели, мотели, курорты",Отели и мотели
3557,"Отели, мотели, курорты",Отели и мотели
3559,"Отели, мотели, курорты",Отели и мотели
3560,"Отели, мотели, курорты",Отели и мотели
3561,"Отели, мотели, курорты",Отели и мотели
3564,"Отели, мотели, курорты",Отели и мотели
3566,"Отели, мотели, курорты",Отели и мотели
3567,"Отели, мотели, курорты",Отели и мотели
3569,"Отели, мотели, курорты",Отели и мотели
3571,"Отели, мотели, курорты",Отели и мотели
3576,"Отели, мотели, курорты",Отели и мотели
3578,"Отели, мотели, курорты",Отели и мотели
3580,"Отели, мотели, курорты",Отели и мотели
3582,"Отели, мотели, курорты",Отели и мотели
3589,"Отели, мотели, курорты",Отели и мотели
3594,"Отели, мотели, курорты",Отели и мотели
3596,"Отели, мотели, курорты",Отели и мотели
3597,"Отели, мотели, курорты",Отели и мотели
3600,"Отели, мотели, курорты",Отели и мотели
3601,"Отели, мотели, курорты",Отели и мотели
3602,"Отели, мотели, курорты",Отели и мотели
3604,"Отели, мотели, курорты",Отели и мотели
3605,"Отели, мотели, курорты",Отели и мотели
3606,"Отели, мотели, курорты",Отели и мотели
3607,"Отели, мотели, курорты",Отели и мотели
3608,"Отели, мотели, курорты",Отели и мотели
3609,"Отели, мотели, курорты",Отели и мотели
3610,"Отели, мотели, курорты",Отели и мотели
3611,"Отели, мотели, курорты",Отели и мотели
3613,"Отели, мотели, курорты",Отели и мотели
3614,"Отели, мотели, курорты",Отели и мотели
3616,"Отели, мотели, курорты",Отели и мотели
3617,"Отели, мотели, курорты",Отели и мотели
3618,"Отели, мотели, курорты",Отели и мотели
3619,"Отели, мотели, курорты",Отели и мотели
3621,"Отели, мотели, курорты",Отели и мотели
3624,"Отели, мотели, курорты",Отели и мотели
3627,"Отели, мотели, курорты",Отели и мотели
3628,"Отели, мотели, курорты",Отели и мотели
3630,"Отели, мотели, курорты",Отели и мотели
3631,"Отели, мотели, курорты",Отели и мотели
3632,"Отели, мотели, курорты",Отели и мотели
3662,"Отели, мотели, курорты",Отели и мотели
3667,"Отели, мотели, курорты",Отели и мотели
3669,"Отели, мотели, курорты",Отели и мотели
3676,"Отели, мотели, курорты",Отели и мотели
3680,"Отели, мотели, курорты",Отели и мотели
3683,"Отели, мотели, курорты",Отели и мотели
3708,"Отели, мотели, курорты",Отели и мотели
3735,"Отели, мотели, курорты",Отели и мотели
3757,"Отели, мотели, курорты",Отели и мотели
3758,"Отели, мотели, курорты",Отели и мотели
3759,"Отели, мотели, курорты",Отели и мотели
3760,"Отели, мотели, курорты",Отели и мотели
3761,"Отели, мотели, курорты",Отели и мотели
3762,"Отели, мотели, курорты",Отели и мотели
3763,"Отели, мотели, курорты",Отели и мотели
3764,"Отели, мотели, курорты",Отели и мотели
3765,"Отели, мотели, курорты",Отели и мотели
3766,"Отели, мотели, курорты",Отели и мотели
3767,"Отели, мотели, курорты",Отели и мотели
3768,"Отели, мотели, курорты",Отели и мотели
3769,"Отели, мотели, курорты",Отели и мотели
3770,"Отели, мотели, курорты",Отели и мотели
3771,"Отели, мотели, курорты",Отели и мотели
3772,"Отели, мотели, курорты",Отели и мотели
3773,"Отели, мотели, курорты",Отели и мотели
3774,"Отели, мотели, курорты",Отели и мотели
3775,"Отели, мотели, курорты",Отели и мотели
3776,"Отели, мотели, курорты",Отели и мотели
3777,"Отели, мотели, курорты",Отели и мотели
3778,"Отели, мотели, курорты",Отели и мотели
3779,"Отели, мотели, курорты",Отели и мотели
3780,"Отели, мотели, курорты",Отели и мотели
3781,"Отели, мотели, курорты",Отели и мотели
3782,"Отели, мотели, курорты",Отели и мотели
3783,"Отели, мотели, курорты",Отели и мотели
3784,"Отели, мотели, курорты",Отели и мотели
3785,"Отели, мотели, курорты",Отели и мотели
